epoch;acc;loss
0;0.0;5.88998818397522
1;0.1875;3.78340220451355
2;0.3125;2.863701105117798
3;0.1875;4.079813480377197
4;0.375;3.1431527137756348
5;0.25;3.1434993147850037
6;0.25;3.40732741355896
7;0.125;3.6457414627075195
8;0.1875;3.87007999420166
9;0.125;3.068834662437439
10;0.1875;3.507345676422119
11;0.0625;3.749223232269287
12;0.0625;4.5444560050964355
13;0.1875;4.34409761428833
14;0.1875;4.762100696563721
15;0.0;4.46974515914917
16;0.3125;3.2156583070755005
17;0.125;4.339195728302002
18;0.1875;4.165799617767334
19;0.25;3.393070936203003
20;0.125;4.793577432632446
21;0.3125;2.9706429839134216
22;0.125;2.9015419483184814
23;0.1875;3.0391499996185303
24;0.3125;3.0306239128112793
25;0.125;3.8688496351242065
26;0.3125;2.3888099789619446
27;0.1875;2.6983535289764404
28;0.1875;2.8865078687667847
29;0.1875;3.516984224319458
30;0.3125;2.4978432655334473
31;0.1875;2.9348719120025635
32;0.3125;1.9645042419433594
33;0.25;2.988869309425354
34;0.1875;3.4114181995391846
35;0.25;2.9699517488479614
36;0.3125;2.552197813987732
37;0.3125;2.7081997394561768
38;0.125;2.593503475189209
39;0.1875;3.1443254947662354
40;0.375;2.2464178800582886
41;0.125;2.5692580938339233
42;0.25;2.6125192642211914
43;0.25;2.8546016216278076
44;0.375;2.3664515018463135
45;0.25;2.20577335357666
46;0.3125;1.992690086364746
47;0.1875;3.1049914360046387
48;0.25;2.4679683446884155
49;0.125;3.0892891883850098
